"parameter","Penh"
NA,2.64
NA,2.68
"d3 12.5",NA
NA,NA
NA,1.46
NA,NA
"d4 12.5",NA
NA,1.32
NA,1.16
NA,1.04
NA,0.84
NA,0.87
NA,0.83
NA,1.15
NA,1.06
NA,1.17
NA,1.86
NA,1.68
NA,0.91
NA,1.47
NA,1.48
NA,1.55
NA,1.13
NA,1.19
NA,0.75
NA,2.21
NA,1.7
NA,1.19
NA,0.88
NA,0.89
NA,1.03
NA,0.95
NA,0.76
NA,0.74
NA,1.09
NA,0.94
NA,1.88
"d4 12.5",NA
NA,NA
NA,0.67
NA,NA
"d5 12.5",NA
NA,0.5
NA,0.68
NA,0.6
NA,0.63
NA,0.61
NA,0.59
NA,0.47
NA,0.56
NA,0.65
NA,0.76
NA,0.47
NA,0.69
NA,0.6
NA,0.49
NA,0.78
NA,0.58
NA,0.68
NA,1.18
NA,0.83
NA,0.36
NA,0.96
NA,0.92
NA,0.49
NA,0.73
NA,0.79
NA,1.07
NA,0.65
NA,0.63
NA,0.63
NA,0.65
NA,0.44
"d5 12.5",NA
NA,NA
NA,0.74
NA,NA
"v1 12.5",NA
NA,0.56
NA,0.47
NA,0.62
NA,0.54
NA,0.55
NA,0.5
NA,0.46
NA,0.68
NA,0.73
NA,0.5
NA,0.39
NA,0.39
NA,0.57
NA,0.64
NA,0.9
NA,0.88
NA,0.67
NA,0.55
NA,0.65
NA,0.63
NA,0.47
NA,0.65
NA,0.72
NA,0.52
NA,0.64
NA,0.67
NA,0.87
NA,0.65
NA,0.6
NA,0.58
"v1 12.5",NA
NA,NA
NA,0.88
NA,NA
"v2 12.5",NA
NA,0.55
NA,0.49
NA,0.5
NA,0.45
NA,0.51
NA,0.5
NA,0.49
NA,0.55
NA,0.58
NA,0.47
NA,0.52
NA,0.44
NA,0.5
NA,0.34
NA,0.46
NA,0.44
NA,0.55
NA,0.55
NA,0.63
NA,0.86
NA,0.37
NA,0.51
NA,0.83
NA,0.61
NA,0.79
NA,0.52
NA,0.43
NA,0.53
NA,0.58
NA,0.93
NA,0.82
NA,0.52
"v2 12.5",NA
NA,NA
NA,0.79
NA,0.87
NA,0.83
NA,NA
"v3 12.5",NA
NA,0.65
NA,0.66
NA,0.69
NA,0.7
NA,0.66
NA,0.56
NA,0.48
NA,0.58
NA,0.74
NA,0.65
NA,0.67
NA,0.59
NA,0.84
NA,0.95
NA,0.78
NA,0.62
NA,0.92
NA,0.79
NA,0.52
NA,0.59
NA,0.6
NA,0.79
NA,0.56
NA,0.68
NA,0.63
NA,0.64
NA,0.62
NA,0.64
NA,0.73
NA,0.71
NA,1.44
"v3 12.5",NA
NA,NA
NA,0.69
NA,NA
"hdv1 12.5",NA
NA,0.61
NA,0.54
NA,0.54
NA,0.57
NA,0.63
NA,0.63
NA,0.51
NA,0.52
NA,0.48
NA,0.64
NA,0.57
NA,1.09
NA,0.71
NA,0.42
NA,0.47
NA,0.77
NA,0.71
NA,0.78
NA,0.55
NA,0.36
NA,0.51
NA,0.61
NA,0.52
NA,0.61
NA,0.61
NA,0.75
NA,0.85
NA,0.15
NA,0.42
NA,0.83
"hdv1 12.5",NA
NA,NA
NA,0.64
NA,NA
"hdv2 12.5",NA
NA,0.62
NA,0.6
NA,0.47
NA,0.33
NA,0.38
NA,0.44
NA,0.4
NA,0.38
NA,0.53
NA,0.53
NA,0.49
NA,0.37
NA,0.53
NA,0.51
NA,0.48
NA,0.37
NA,0.26
NA,0.39
NA,0.42
NA,0.65
NA,0.59
NA,0.52
NA,0.54
NA,0.47
NA,0.39
NA,0.42
NA,0.45
NA,0.71
NA,0.36
NA,0.29
"hdv2 12.5",NA
NA,NA
NA,0.46
NA,NA
"hdv3 12.5",NA
NA,0.34
NA,0.38
NA,0.3
NA,0.44
NA,0.49
NA,0.52
NA,0.37
NA,0.41
NA,0.36
NA,0.38
NA,0.39
NA,0.39
NA,0.32
NA,0.44
NA,0.37
NA,0.4
NA,0.33
NA,0.35
NA,0.3
NA,0.48
NA,0.29
NA,0.32
NA,0.38
NA,0.4
NA,0.3
NA,0.34
NA,0.4
NA,0.34
NA,0.4
NA,0.23
"hdv3 12.5",NA
NA,NA
NA,0.64
NA,NA
"hdv4 12.5",NA
NA,0.55
NA,0.49
NA,0.56
NA,0.63
NA,0.62
NA,0.53
NA,0.44
NA,0.53
NA,0.54
NA,0.56
NA,0.5
NA,0.5
NA,0.75
NA,0.74
NA,0.68
NA,0.48
NA,0.58
NA,0.67
NA,0.53
NA,0.56
NA,0.52
NA,0.48
NA,0.44
NA,0.44
NA,0.33
NA,0.57
NA,0.41
NA,0.7
NA,0.55
NA,0.43
"hdv4 12.5",NA
NA,NA
NA,0.5
NA,0
NA,NA
"d1 50",NA
NA,1.93
NA,1.35
NA,2.22
NA,2.03
NA,2.13
NA,2.64
NA,2.21
NA,3.32
NA,2.78
NA,2.56
NA,2.85
NA,2.64
NA,2.02
NA,2.47
NA,2.24
NA,3.02
NA,3.01
NA,2.64
NA,2.6
NA,2.2
NA,2.33
NA,2.85
NA,3.55
NA,2.24
NA,3.36
NA,2.91
NA,2.27
NA,2.02
NA,2.09
NA,2.04
"d1 50",NA
NA,NA
NA,1.66
NA,NA
"d2 50",NA
NA,1.73
NA,1.67
NA,1.38
NA,1.55
NA,1.63
NA,1.43
NA,1.81
NA,2.24
NA,1.97
NA,1.5
NA,1.65
NA,1.85
NA,2.19
NA,1.44
NA,1.87
NA,1.79
NA,1.4
NA,1.45
NA,1.34
NA,1.34
NA,1.61
NA,1.49
NA,1.69
NA,2.5
NA,1.55
NA,1.58
NA,1.73
NA,1.78
NA,1.83
NA,1.72
"d2 50",NA
NA,NA
NA,3.55
NA,NA
"d3 50",NA
NA,3.29
NA,3.09
NA,2.29
NA,2.43
NA,2.64
NA,1.95
NA,1.71
NA,1.51
NA,3.31
NA,3.64
NA,3.61
NA,2.33
NA,2.18
NA,2.07
NA,2.43
NA,3.6
NA,3.27
NA,2.87
NA,3.22
NA,2.88
NA,2.66
NA,2.81
NA,2.99
NA,3.28
NA,2.69
NA,2.66
NA,3.36
NA,3.02
NA,3.38
NA,3.95
NA,4.12
"d3 50",NA
NA,NA
NA,2.72
NA,NA
"d4 50",NA
NA,1.88
NA,1.97
NA,1.7
NA,1.17
NA,1.32
NA,1.42
NA,1.46
NA,1.31
NA,1.42
NA,1.35
NA,1.71
NA,1.52
NA,2.12
NA,1.66
NA,1.68
NA,2.58
NA,1.42
NA,2.02
NA,1.66
NA,2.35
NA,2.56
NA,2.63
NA,2.25
NA,1.98
NA,2.2
NA,2.76
NA,2.24
NA,1.89
NA,2.38
NA,1.66
NA,1.3
"d4 50",NA
NA,NA
NA,1.09
NA,NA
"d5 50",NA
NA,0.68
NA,0.52
NA,0.69
NA,0.69
NA,1.03
NA,1.34
NA,0.94
NA,1.34
NA,1.03
NA,0.93
NA,2.51
NA,0.97
NA,2.66
NA,2.34
NA,2.14
NA,1.86
NA,1.68
NA,0.79
NA,0.81
NA,1.04
NA,0.97
NA,0.88
NA,2.42
NA,1.46
NA,0.88
NA,1.02
NA,0.65
NA,1.03
NA,0.66
NA,0.79
NA,0.64
